dataset,method,RecurrentGCN,mrate,mtype,lags,nof_filters,inter_method,epoch,lr,mse,calculation_time
chickenpox,STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,1.077570915222168,0.01,132.26102352142334
chickenpox,STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,1.1471946239471436,0.01,81.30290842056274
chickenpox,IT-STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,1.2827346324920654,0.01,149.0870041847229
chickenpox,IT-STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,1.0593491792678833,0.01,89.63009715080261
chickenpox,STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,1.4634922742843628,0.01,135.9032940864563
chickenpox,STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,1.0760213136672974,0.01,82.71962690353394
chickenpox,IT-STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,1.4283649921417236,0.01,150.9157772064209
chickenpox,IT-STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,1.1347297430038452,0.01,92.37281656265259
chickenpox,STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,2.157776355743408,0.01,131.41918563842773
chickenpox,STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,1.1894941329956055,0.01,85.2209370136261
chickenpox,IT-STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,1.1862144470214844,0.01,150.0273334980011
chickenpox,IT-STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,1.1285700798034668,0.01,87.47082901000977
chickenpox,STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,7.638256072998047,0.01,127.9681031703949
chickenpox,STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,1.0151079893112183,0.01,81.26306796073914
chickenpox,IT-STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,0.9136932492256165,0.01,146.91370368003845
chickenpox,IT-STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,1.0058932304382324,0.01,87.8471200466156
chickenpox,STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,6.121151447296143,0.01,129.3771574497223
chickenpox,STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,1.1737165451049805,0.01,76.8236517906189
chickenpox,IT-STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,1.167940378189087,0.01,149.980299949646
chickenpox,IT-STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,1.1399091482162476,0.01,93.50118827819824
chickenpox,STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,1.9114302396774292,0.01,128.33463335037231
chickenpox,STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,1.100272536277771,0.01,75.86179900169373
chickenpox,IT-STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,1.0522985458374023,0.01,149.24685883522034
chickenpox,IT-STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,1.1631990671157837,0.01,91.37063097953796
chickenpox,STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,2.1769015789031982,0.01,135.7860381603241
chickenpox,STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,1.1234771013259888,0.01,90.8290491104126
chickenpox,IT-STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,2.3371291160583496,0.01,147.69830775260925
chickenpox,IT-STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,1.1549232006072998,0.01,95.93209958076477
chickenpox,STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,1.0729461908340454,0.01,127.5092351436615
chickenpox,STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,1.0701817274093628,0.01,75.84489965438843
chickenpox,IT-STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,29.533418655395508,0.01,149.03744792938232
chickenpox,IT-STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,1.039937973022461,0.01,88.11893129348755
chickenpox,STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,1.7591899633407593,0.01,129.22435092926025
chickenpox,STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,1.194413185119629,0.01,81.16545057296753
chickenpox,IT-STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,2.492199659347534,0.01,150.94288110733032
chickenpox,IT-STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,1.1335844993591309,0.01,85.64056825637817
chickenpox,STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,8.272884368896484,0.01,128.45818066596985
chickenpox,STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,1.081152319908142,0.01,77.0976300239563
chickenpox,IT-STGCN,GConvGRU,0.28776978417266186,block,4,16,cubic,50,4.163702487945557,0.01,151.26763892173767
chickenpox,IT-STGCN,GConvLSTM,0.28776978417266186,block,4,16,cubic,50,1.1255744695663452,0.01,89.09649896621704
