dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2442333698272705,1.4722988605499268
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.261648178100586,1.4836819171905518
pedalme,STGCN,0.6,rand,4,12,linear,50,1.2352672815322876,1.617955207824707
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.2672537565231323,1.7152001857757568
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.287977933883667,10.51054573059082
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2815642356872559,11.958370208740234
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.2284297943115234,7.8249430656433105
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.2269630432128906,11.733444929122925
pedalme,STGCN,0.3,rand,4,12,linear,50,1.320487141609192,1.5203735828399658
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.231156587600708,1.5224950313568115
pedalme,STGCN,0.6,rand,4,12,linear,50,1.3574751615524292,1.5073153972625732
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.340090274810791,1.5098075866699219
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.2207527160644531,9.04316782951355
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2990161180496216,10.273889541625977
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.157385230064392,8.8013334274292
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.2463783025741577,8.818252563476562
pedalme,STGCN,0.3,rand,4,12,linear,50,1.274530291557312,1.510688066482544
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.2590914964675903,1.7565438747406006
pedalme,STGCN,0.6,rand,4,12,linear,50,1.275408387184143,1.8949213027954102
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.316359281539917,1.715989589691162
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.2797082662582397,7.699404001235962
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2553483247756958,8.691405057907104
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.3352901935577393,10.601124048233032
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.2331095933914185,8.578007221221924
pedalme,STGCN,0.3,rand,4,12,linear,50,1.323334813117981,1.9056696891784668
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.3062642812728882,1.7419185638427734
pedalme,STGCN,0.6,rand,4,12,linear,50,1.328065276145935,1.5974316596984863
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.3393203020095825,1.7684037685394287
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.2446560859680176,5.889633655548096
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.3013784885406494,7.202244281768799
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.3350400924682617,8.727091312408447
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.1365309953689575,9.279274702072144
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2628198862075806,1.25494384765625
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.171417236328125,1.5074646472930908
pedalme,STGCN,0.6,rand,4,12,linear,50,1.2751797437667847,1.3266322612762451
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.3264344930648804,1.4945406913757324
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.1811332702636719,8.272069692611694
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2047052383422852,9.600998878479004
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.225805401802063,10.531691789627075
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.2193042039871216,9.740846633911133
pedalme,STGCN,0.3,rand,4,12,linear,50,1.3041555881500244,1.5510098934173584
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.3637282848358154,1.6240811347961426
pedalme,STGCN,0.6,rand,4,12,linear,50,1.2361938953399658,1.5500457286834717
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.3260544538497925,1.582493782043457
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.163284420967102,8.541018962860107
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.1849770545959473,9.738211154937744
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.2821667194366455,23.44236993789673
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.2815898656845093,28.310242891311646
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2225892543792725,1.7533953189849854
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.2861647605895996,1.723250150680542
pedalme,STGCN,0.6,rand,4,12,linear,50,1.3081945180892944,1.760056495666504
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.2903403043746948,1.8654139041900635
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.237191915512085,18.228255033493042
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.27313232421875,19.15649724006653
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.254217267036438,18.64929747581482
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.1744452714920044,18.024046421051025
pedalme,STGCN,0.3,rand,4,12,linear,50,1.3505191802978516,2.1974897384643555
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.1923177242279053,2.2438881397247314
pedalme,STGCN,0.6,rand,4,12,linear,50,1.3626933097839355,2.2892916202545166
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.2586473226547241,2.2480032444000244
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.1973611116409302,15.109155654907227
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2598364353179932,16.06698989868164
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.2650928497314453,14.70609450340271
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.3465945720672607,16.305296897888184
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2164500951766968,1.8382091522216797
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.300972819328308,1.9492402076721191
pedalme,STGCN,0.6,rand,4,12,linear,50,1.2269885540008545,1.9853134155273438
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.2305498123168945,1.9433553218841553
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.1814196109771729,16.767419576644897
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2313601970672607,15.84629487991333
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.4080924987792969,14.770473957061768
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.3575267791748047,15.709685325622559
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2086466550827026,2.139094829559326
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.185669183731079,2.076537847518921
pedalme,STGCN,0.6,rand,4,12,linear,50,1.3187609910964966,2.027397394180298
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.4131569862365723,1.7027852535247803
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.2074815034866333,17.158030033111572
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2241257429122925,16.704564332962036
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.3276207447052002,19.393460273742676
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.1996418237686157,17.913940906524658
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2866721153259277,1.8460733890533447
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.1393890380859375,1.754201889038086
pedalme,STGCN,0.6,rand,4,12,linear,50,1.2465827465057373,1.7989647388458252
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.578595519065857,1.7447948455810547
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.2413051128387451,19.40343475341797
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2389860153198242,20.001837253570557
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.2740370035171509,18.620254278182983
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.3394663333892822,18.00992727279663
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2473794221878052,1.8835718631744385
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.3896305561065674,1.8866372108459473
pedalme,STGCN,0.6,rand,4,12,linear,50,1.3032914400100708,1.6987285614013672
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.2773773670196533,1.6432619094848633
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.1983271837234497,14.01572847366333
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.3227312564849854,13.021410942077637
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.2375526428222656,13.965677976608276
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.278686285018921,14.171449899673462
pedalme,STGCN,0.3,rand,4,12,linear,50,1.216752529144287,1.5276751518249512
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.1253483295440674,1.5108273029327393
pedalme,STGCN,0.6,rand,4,12,linear,50,1.3217108249664307,1.5385515689849854
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.3405742645263672,1.5256412029266357
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.2180222272872925,15.805816888809204
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2510243654251099,14.359731674194336
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.2981011867523193,12.32737946510315
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.245776891708374,12.745242357254028
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2810726165771484,1.513352394104004
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.212526559829712,1.656693458557129
pedalme,STGCN,0.6,rand,4,12,linear,50,1.4025976657867432,1.7409915924072266
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.2441507577896118,1.5933125019073486
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.2391324043273926,13.726430416107178
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2448251247406006,13.954644441604614
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.101948618888855,11.43409776687622
