dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6608346104621887,429.0097188949585
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5881990194320679,703.5177254676819
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6408050060272217,450.3875823020935
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5923405289649963,731.2407734394073
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6916137337684631,535.3487303256989
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5840798020362854,699.8963401317596
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6618943214416504,559.6409497261047
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5858514904975891,695.3001580238342
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.646819531917572,576.1777682304382
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.6008235216140747,666.8631770610809
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6709999442100525,589.7335889339447
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5926230549812317,692.7308645248413
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6568778157234192,574.5508019924164
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.592300295829773,720.3866522312164
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.6618282794952393,540.3302135467529
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5958654284477234,700.3918390274048
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.656970739364624,331.9457709789276
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5884740948677063,841.1881947517395
wikimath,STGCN,0.5119453924914675,block,8,12,linear,50,0.664600133895874,350.6162779331207
wikimath,IT-STGCN,0.5119453924914675,block,8,12,linear,50,0.5880268216133118,818.6569638252258
