dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
monte,STGCN,0.8,rand,4,12,nearest,50,1.527679204940796,176.37093019485474
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1285393238067627,282.06914019584656
monte,STGCN,0.8,rand,4,12,nearest,50,1.5196729898452759,197.45097661018372
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0934033393859863,283.45760321617126
monte,STGCN,0.8,rand,4,12,nearest,50,1.5234174728393555,178.68791961669922
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1285886764526367,275.5992889404297
monte,STGCN,0.8,rand,4,12,nearest,50,1.4318138360977173,207.05986762046814
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0450588464736938,278.55628204345703
monte,STGCN,0.8,rand,4,12,nearest,50,1.4691274166107178,198.61148166656494
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1102062463760376,283.0064389705658
monte,STGCN,0.8,rand,4,12,nearest,50,1.482995867729187,192.55471563339233
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1098815202713013,272.39431834220886
monte,STGCN,0.8,rand,4,12,nearest,50,1.5387457609176636,205.7623734474182
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0920042991638184,332.241507768631
monte,STGCN,0.8,rand,4,12,nearest,50,1.536956787109375,270.2348139286041
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0945254564285278,358.61029410362244
monte,STGCN,0.8,rand,4,12,nearest,50,1.4989527463912964,248.34261655807495
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0907723903656006,408.42579770088196
monte,STGCN,0.8,rand,4,12,nearest,50,1.6044869422912598,292.4798607826233
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0732858180999756,408.20484232902527
monte,STGCN,0.8,rand,4,12,nearest,50,1.4880924224853516,257.3261716365814
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.110456943511963,369.09074354171753
monte,STGCN,0.8,rand,4,12,nearest,50,1.5525078773498535,262.9521563053131
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.097900152206421,358.0145103931427
monte,STGCN,0.8,rand,4,12,nearest,50,1.5257161855697632,236.04252290725708
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.089065670967102,339.3774485588074
monte,STGCN,0.8,rand,4,12,nearest,50,1.5142351388931274,247.0736801624298
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0752042531967163,365.00174355506897
monte,STGCN,0.8,rand,4,12,nearest,50,1.525658130645752,251.1410937309265
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1061474084854126,350.3082573413849
monte,STGCN,0.8,rand,4,12,nearest,50,1.5507804155349731,236.88415455818176
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1217337846755981,350.356064081192
monte,STGCN,0.8,rand,4,12,nearest,50,1.486429214477539,244.60480618476868
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1257678270339966,366.7743000984192
monte,STGCN,0.8,rand,4,12,nearest,50,1.501644492149353,256.2251760959625
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0804002285003662,355.80763030052185
monte,STGCN,0.8,rand,4,12,nearest,50,1.488014578819275,240.48605799674988
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0843898057937622,361.2986023426056
monte,STGCN,0.8,rand,4,12,nearest,50,1.5216248035430908,250.82755970954895
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.083305835723877,369.96735525131226
monte,STGCN,0.8,rand,4,12,nearest,50,1.5009126663208008,249.7157711982727
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1486376523971558,351.9104676246643
monte,STGCN,0.8,rand,4,12,nearest,50,1.5303237438201904,242.94112586975098
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0891419649124146,349.7291729450226
monte,STGCN,0.8,rand,4,12,nearest,50,1.4806772470474243,235.89241099357605
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0687021017074585,352.7197690010071
monte,STGCN,0.8,rand,4,12,nearest,50,1.5056562423706055,242.59611010551453
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0772672891616821,366.32956075668335
monte,STGCN,0.8,rand,4,12,nearest,50,1.5191988945007324,242.68685388565063
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1409293413162231,351.1523447036743
monte,STGCN,0.8,rand,4,12,nearest,50,1.5614672899246216,233.89823126792908
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1064364910125732,345.4355626106262
monte,STGCN,0.8,rand,4,12,nearest,50,1.4963624477386475,256.01655197143555
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0775583982467651,364.18860387802124
monte,STGCN,0.8,rand,4,12,nearest,50,1.4907132387161255,240.75680088996887
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.100843071937561,337.9723107814789
monte,STGCN,0.8,rand,4,12,nearest,50,1.4863935708999634,235.62076711654663
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0911240577697754,355.46781635284424
monte,STGCN,0.8,rand,4,12,nearest,50,1.4867138862609863,250.713116645813
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1099400520324707,365.54677391052246
