dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.299147605895996,25.236690282821655
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.33585524559021,24.400978326797485
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.3059053421020508,33.300703287124634
fivenodes,IT-STGCN,0.7,rand,2,4,nearest,50,1.2487198114395142,33.62168908119202
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.2882517576217651,24.20530080795288
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.2284060716629028,24.99070906639099
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.2401154041290283,29.080719470977783
fivenodes,IT-STGCN,0.7,rand,2,4,nearest,50,1.190120816230774,30.781538486480713
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.2421903610229492,26.060463905334473
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.193031907081604,24.830371141433716
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.2455859184265137,30.7643039226532
fivenodes,IT-STGCN,0.7,rand,2,4,nearest,50,1.2523200511932373,31.54461646080017
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.2370121479034424,25.197994709014893
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.2332639694213867,25.206368684768677
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.267134666442871,34.671995401382446
fivenodes,IT-STGCN,0.7,rand,2,4,nearest,50,1.2014446258544922,29.19214630126953
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.2202982902526855,23.00168204307556
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.2614383697509766,22.656352281570435
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.213188648223877,24.97130846977234
fivenodes,IT-STGCN,0.7,rand,2,4,nearest,50,1.1854783296585083,26.404348611831665
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.318426251411438,22.77707862854004
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.234868049621582,22.604588508605957
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.1900521516799927,26.61659288406372
fivenodes,IT-STGCN,0.7,rand,2,4,nearest,50,1.1995246410369873,26.282215356826782
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.2136629819869995,22.779651165008545
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.2653982639312744,23.64351487159729
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.2455697059631348,27.095409870147705
fivenodes,IT-STGCN,0.7,rand,2,4,nearest,50,1.2558472156524658,26.654937505722046
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.279350996017456,24.094779014587402
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.284254550933838,26.12075114250183
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.227745532989502,37.16968607902527
fivenodes,IT-STGCN,0.7,rand,2,4,nearest,50,1.1865663528442383,33.74319767951965
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.25380277633667,25.281374216079712
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.1992478370666504,26.5094473361969
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.237342119216919,32.292540311813354
fivenodes,IT-STGCN,0.7,rand,2,4,nearest,50,1.2110357284545898,30.21503472328186
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.2830504179000854,26.118601083755493
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.2550584077835083,25.879652976989746
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.2161463499069214,30.802314519882202
fivenodes,IT-STGCN,0.7,rand,2,4,nearest,50,1.265892744064331,31.189473390579224
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.2108676433563232,23.905988931655884
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.2380534410476685,24.99120330810547
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.211064100265503,30.267268896102905
fivenodes,IT-STGCN,0.7,rand,2,4,nearest,50,1.2627307176589966,33.21716499328613
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.2412101030349731,24.86907649040222
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.2501025199890137,24.407163619995117
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.221801996231079,28.541687965393066
fivenodes,IT-STGCN,0.7,rand,2,4,nearest,50,1.2117823362350464,25.602225303649902
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.2268075942993164,22.06852102279663
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.1785517930984497,21.956428050994873
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.1806859970092773,27.72599196434021
fivenodes,IT-STGCN,0.7,rand,2,4,nearest,50,1.2195979356765747,26.070056676864624
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.1998586654663086,22.83927059173584
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.2341712713241577,23.331668376922607
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.1831811666488647,27.45372748374939
fivenodes,IT-STGCN,0.7,rand,2,4,nearest,50,1.2635266780853271,25.678882360458374
fivenodes,STGCN,0.7,rand,2,4,linear,50,1.2241982221603394,23.07671570777893
fivenodes,STGCN,0.7,rand,2,4,nearest,50,1.227807879447937,21.787590503692627
fivenodes,IT-STGCN,0.7,rand,2,4,linear,50,1.227836012840271,26.703511238098145
fivenodes,IT-STGCN,0.7,rand,2,4,nearest,50,1.2378731966018677,38.367546796798706
