dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
monte,STGCN,0.8,rand,4,12,nearest,50,1.2038557529449463,296.52024126052856
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0378202199935913,409.04252433776855
monte,STGCN,0.8,rand,4,12,nearest,50,1.2909232378005981,317.8392038345337
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.139415979385376,451.9090082645416
monte,STGCN,0.8,rand,4,12,nearest,50,1.2850897312164307,414.2391586303711
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1321766376495361,361.97517490386963
monte,STGCN,0.8,rand,4,12,nearest,50,1.2389400005340576,417.01139736175537
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.115307331085205,625.2457110881805
monte,STGCN,0.8,rand,4,12,nearest,50,1.315582513809204,498.5987811088562
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1596310138702393,604.1372497081757
monte,STGCN,0.8,rand,4,12,nearest,50,1.2962470054626465,455.60078501701355
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1233131885528564,626.8058998584747
monte,STGCN,0.8,rand,4,12,nearest,50,1.1859767436981201,396.82362389564514
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1402727365493774,613.8856399059296
monte,STGCN,0.8,rand,4,12,nearest,50,1.2280904054641724,510.97791719436646
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1348254680633545,497.09045600891113
monte,STGCN,0.8,rand,4,12,nearest,50,1.2139722108840942,502.5291271209717
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1256417036056519,573.0951354503632
monte,STGCN,0.8,rand,4,12,nearest,50,1.3122084140777588,332.86532950401306
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1161127090454102,666.7657663822174
monte,STGCN,0.8,rand,4,12,nearest,50,1.1347578763961792,185.598002910614
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0875792503356934,672.8270838260651
monte,STGCN,0.8,rand,4,12,nearest,50,1.0592894554138184,202.5265772342682
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0975890159606934,697.2264857292175
monte,STGCN,0.8,rand,4,12,nearest,50,1.2301630973815918,185.06365752220154
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1016031503677368,648.7514526844025
monte,STGCN,0.8,rand,4,12,nearest,50,1.2651231288909912,177.76562595367432
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1436556577682495,535.9619143009186
monte,STGCN,0.8,rand,4,12,nearest,50,1.3098011016845703,233.99649357795715
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1505184173583984,498.72273874282837
