dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
monte,STGCN,0.8,rand,4,8,nearest,50,1.2203001976013184,295.2864167690277
monte,IT-STGCN,0.8,rand,4,8,nearest,50,1.042339563369751,395.01461935043335
monte,STGCN,0.8,rand,4,8,nearest,50,1.0371551513671875,249.91616034507751
monte,IT-STGCN,0.8,rand,4,8,nearest,50,1.0493682622909546,452.1984305381775
monte,STGCN,0.8,rand,4,8,nearest,50,1.1443777084350586,208.5404269695282
monte,IT-STGCN,0.8,rand,4,8,nearest,50,1.1086398363113403,484.1275038719177
monte,STGCN,0.8,rand,4,8,nearest,50,1.2926666736602783,186.51879787445068
monte,IT-STGCN,0.8,rand,4,8,nearest,50,1.0835886001586914,495.25002455711365
monte,STGCN,0.8,rand,4,8,nearest,50,1.3305374383926392,207.4412989616394
monte,IT-STGCN,0.8,rand,4,8,nearest,50,1.1058260202407837,478.4178144931793
monte,STGCN,0.8,rand,4,8,nearest,50,1.318221926689148,235.00025367736816
monte,IT-STGCN,0.8,rand,4,8,nearest,50,1.11797034740448,481.6424489021301
monte,STGCN,0.8,rand,4,8,nearest,50,1.26419198513031,223.55114316940308
monte,IT-STGCN,0.8,rand,4,8,nearest,50,1.1093543767929077,467.8729546070099
monte,STGCN,0.8,rand,4,8,nearest,50,1.3502448797225952,241.7415235042572
monte,IT-STGCN,0.8,rand,4,8,nearest,50,1.0776695013046265,407.8493866920471
monte,STGCN,0.8,rand,4,8,nearest,50,1.2279433012008667,233.17379665374756
monte,IT-STGCN,0.8,rand,4,8,nearest,50,1.085519790649414,486.4845952987671
monte,STGCN,0.8,rand,4,8,nearest,50,1.2377771139144897,145.9173195362091
monte,IT-STGCN,0.8,rand,4,8,nearest,50,1.0556291341781616,498.4634666442871
monte,STGCN,0.8,rand,4,8,nearest,50,1.1890679597854614,212.01743841171265
monte,IT-STGCN,0.8,rand,4,8,nearest,50,1.035374402999878,395.7002377510071
monte,STGCN,0.8,rand,4,8,nearest,50,1.167803168296814,286.17256712913513
monte,IT-STGCN,0.8,rand,4,8,nearest,50,1.0857774019241333,360.1735100746155
monte,STGCN,0.8,rand,4,8,nearest,50,1.2309871912002563,322.61506485939026
monte,IT-STGCN,0.8,rand,4,8,nearest,50,1.0544687509536743,330.6587793827057
monte,STGCN,0.8,rand,4,8,nearest,50,1.154207468032837,355.72570610046387
monte,IT-STGCN,0.8,rand,4,8,nearest,50,1.0951323509216309,375.51081442832947
monte,STGCN,0.8,rand,4,8,nearest,50,1.1858713626861572,343.3854558467865
monte,IT-STGCN,0.8,rand,4,8,nearest,50,1.1103224754333496,385.12517380714417
