dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalme,STGCN,0.3,rand,4,8,linear,50,1.2910981178283691,2.736527919769287
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.3588151931762695,2.9556212425231934
pedalme,STGCN,0.6,rand,4,8,linear,50,1.4753285646438599,2.1580488681793213
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.7374070882797241,2.1683664321899414
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.182917833328247,14.697064399719238
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.0802619457244873,14.57966160774231
pedalme,IT-STGCN,0.6,rand,4,8,linear,50,1.3830386400222778,13.845272779464722
pedalme,IT-STGCN,0.6,rand,4,8,nearest,50,1.2634000778198242,14.780470848083496
pedalme,STGCN,0.3,rand,4,8,linear,50,1.2742177248001099,2.5485920906066895
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.3423027992248535,2.7686285972595215
pedalme,STGCN,0.6,rand,4,8,linear,50,1.4818501472473145,2.7923736572265625
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.4471704959869385,2.8081014156341553
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.127686619758606,13.304653406143188
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.220944881439209,13.10211443901062
pedalme,IT-STGCN,0.6,rand,4,8,linear,50,1.1521376371383667,14.826420068740845
pedalme,IT-STGCN,0.6,rand,4,8,nearest,50,1.3250619173049927,14.69895887374878
pedalme,STGCN,0.3,rand,4,8,linear,50,1.307907223701477,2.8074188232421875
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.2258238792419434,2.809150218963623
pedalme,STGCN,0.6,rand,4,8,linear,50,1.3927736282348633,2.8043830394744873
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.5155971050262451,2.708256244659424
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.1771823167800903,11.457398891448975
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.1477490663528442,39.578887701034546
pedalme,IT-STGCN,0.6,rand,4,8,linear,50,1.2802097797393799,24.5508234500885
pedalme,IT-STGCN,0.6,rand,4,8,nearest,50,1.2326234579086304,22.305766820907593
pedalme,STGCN,0.3,rand,4,8,linear,50,1.186716079711914,3.3167688846588135
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.2638477087020874,2.9088265895843506
pedalme,STGCN,0.6,rand,4,8,linear,50,1.5003057718276978,3.1178884506225586
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.6573877334594727,3.107224225997925
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.171276330947876,20.17272400856018
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.1707605123519897,19.555889129638672
pedalme,IT-STGCN,0.6,rand,4,8,linear,50,1.1824804544448853,20.832228422164917
pedalme,IT-STGCN,0.6,rand,4,8,nearest,50,1.2008135318756104,17.991059064865112
pedalme,STGCN,0.3,rand,4,8,linear,50,1.19798743724823,3.4249351024627686
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.2571849822998047,3.2584688663482666
pedalme,STGCN,0.6,rand,4,8,linear,50,1.5970991849899292,2.961143732070923
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.577164888381958,2.9686834812164307
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.1101287603378296,18.198598861694336
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.1993671655654907,19.35140061378479
pedalme,IT-STGCN,0.6,rand,4,8,linear,50,1.1121885776519775,16.239914178848267
pedalme,IT-STGCN,0.6,rand,4,8,nearest,50,1.2956616878509521,17.78155255317688
pedalme,STGCN,0.3,rand,4,8,linear,50,1.2540940046310425,2.9063010215759277
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.3468390703201294,3.185657024383545
pedalme,STGCN,0.6,rand,4,8,linear,50,1.3687505722045898,3.1533048152923584
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.5919009447097778,3.155158519744873
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.199554204940796,18.187174558639526
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.1015565395355225,22.142752647399902
pedalme,IT-STGCN,0.6,rand,4,8,linear,50,1.2202638387680054,18.782238483428955
pedalme,IT-STGCN,0.6,rand,4,8,nearest,50,1.2341406345367432,19.333974599838257
pedalme,STGCN,0.3,rand,4,8,linear,50,1.1998366117477417,3.0213615894317627
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.2915847301483154,2.997476100921631
pedalme,STGCN,0.6,rand,4,8,linear,50,1.5956294536590576,2.996741533279419
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.5274089574813843,2.9960832595825195
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.1930123567581177,21.228630542755127
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.1505062580108643,22.605636835098267
pedalme,IT-STGCN,0.6,rand,4,8,linear,50,1.317810297012329,21.825647115707397
pedalme,IT-STGCN,0.6,rand,4,8,nearest,50,1.200036644935608,20.478423595428467
pedalme,STGCN,0.3,rand,4,8,linear,50,1.2110000848770142,2.925746440887451
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.137573003768921,2.9341461658477783
pedalme,STGCN,0.6,rand,4,8,linear,50,1.4798318147659302,2.9812254905700684
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.5835046768188477,3.1375207901000977
