dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
fivenodes,STGCN,0.7,rand,2,2,linear,50,1.2821934223175049,13.957623481750488
fivenodes,STGCN,0.7,rand,2,2,nearest,50,1.2689599990844727,14.714340209960938
fivenodes,IT-STGCN,0.7,rand,2,2,linear,50,1.2586673498153687,20.865089416503906
fivenodes,IT-STGCN,0.7,rand,2,2,nearest,50,1.2273423671722412,19.442389011383057
fivenodes,STGCN,0.7,rand,2,2,linear,50,1.2590417861938477,15.23668622970581
fivenodes,STGCN,0.7,rand,2,2,nearest,50,1.1906147003173828,15.747480869293213
fivenodes,IT-STGCN,0.7,rand,2,2,linear,50,1.2787137031555176,19.477800846099854
fivenodes,IT-STGCN,0.7,rand,2,2,nearest,50,1.22744882106781,26.041910409927368
fivenodes,STGCN,0.7,rand,2,2,linear,50,1.3105584383010864,18.897371530532837
fivenodes,STGCN,0.7,rand,2,2,nearest,50,1.210341215133667,20.37259864807129
fivenodes,IT-STGCN,0.7,rand,2,2,linear,50,1.2805482149124146,22.399011373519897
fivenodes,IT-STGCN,0.7,rand,2,2,nearest,50,1.1942414045333862,23.96604871749878
fivenodes,STGCN,0.7,rand,2,2,linear,50,1.2334767580032349,19.045812129974365
fivenodes,STGCN,0.7,rand,2,2,nearest,50,1.205547571182251,19.747348308563232
fivenodes,IT-STGCN,0.7,rand,2,2,linear,50,1.2908838987350464,25.0777108669281
fivenodes,IT-STGCN,0.7,rand,2,2,nearest,50,1.2089416980743408,23.411670446395874
fivenodes,STGCN,0.7,rand,2,2,linear,50,1.251562237739563,19.498207807540894
fivenodes,STGCN,0.7,rand,2,2,nearest,50,1.3466235399246216,18.88802671432495
fivenodes,IT-STGCN,0.7,rand,2,2,linear,50,1.273930311203003,24.034454584121704
fivenodes,IT-STGCN,0.7,rand,2,2,nearest,50,1.3725485801696777,24.227438926696777
fivenodes,STGCN,0.7,rand,2,2,linear,50,1.2395883798599243,18.857802867889404
fivenodes,STGCN,0.7,rand,2,2,nearest,50,1.2305426597595215,19.23418664932251
fivenodes,IT-STGCN,0.7,rand,2,2,linear,50,1.2542964220046997,24.060052156448364
fivenodes,IT-STGCN,0.7,rand,2,2,nearest,50,1.1948693990707397,20.005553007125854
fivenodes,STGCN,0.7,rand,2,2,linear,50,1.299436092376709,15.849113941192627
fivenodes,STGCN,0.7,rand,2,2,nearest,50,1.2267292737960815,15.566871166229248
fivenodes,IT-STGCN,0.7,rand,2,2,linear,50,1.2887376546859741,19.82395029067993
fivenodes,IT-STGCN,0.7,rand,2,2,nearest,50,1.2341097593307495,18.900145769119263
fivenodes,STGCN,0.7,rand,2,2,linear,50,1.2679847478866577,16.11658501625061
fivenodes,STGCN,0.7,rand,2,2,nearest,50,1.2611464262008667,15.008373737335205
fivenodes,IT-STGCN,0.7,rand,2,2,linear,50,1.2564153671264648,20.022993564605713
fivenodes,IT-STGCN,0.7,rand,2,2,nearest,50,1.2052479982376099,19.09282660484314
fivenodes,STGCN,0.7,rand,2,2,linear,50,1.267418622970581,17.082185745239258
fivenodes,STGCN,0.7,rand,2,2,nearest,50,1.2573727369308472,16.13192582130432
fivenodes,IT-STGCN,0.7,rand,2,2,linear,50,1.2453705072402954,19.401695728302002
fivenodes,IT-STGCN,0.7,rand,2,2,nearest,50,1.3700546026229858,19.3592529296875
fivenodes,STGCN,0.7,rand,2,2,linear,50,1.217982530593872,15.568978309631348
fivenodes,STGCN,0.7,rand,2,2,nearest,50,1.2711399793624878,15.631508111953735
fivenodes,IT-STGCN,0.7,rand,2,2,linear,50,1.2246387004852295,23.258867502212524
fivenodes,IT-STGCN,0.7,rand,2,2,nearest,50,1.2101649045944214,22.590466737747192
fivenodes,STGCN,0.7,rand,2,2,linear,50,1.2544047832489014,19.54739999771118
fivenodes,STGCN,0.7,rand,2,2,nearest,50,1.242032766342163,18.459434986114502
fivenodes,IT-STGCN,0.7,rand,2,2,linear,50,1.2258704900741577,21.18925452232361
fivenodes,IT-STGCN,0.7,rand,2,2,nearest,50,1.2467762231826782,23.881823539733887
fivenodes,STGCN,0.7,rand,2,2,linear,50,1.246228814125061,23.103965282440186
fivenodes,STGCN,0.7,rand,2,2,nearest,50,1.2971713542938232,23.150750637054443
fivenodes,IT-STGCN,0.7,rand,2,2,linear,50,1.243693470954895,25.47957730293274
fivenodes,IT-STGCN,0.7,rand,2,2,nearest,50,1.24969482421875,25.729705095291138
fivenodes,STGCN,0.7,rand,2,2,linear,50,1.2441296577453613,23.060060739517212
fivenodes,STGCN,0.7,rand,2,2,nearest,50,1.2308580875396729,23.512405395507812
fivenodes,IT-STGCN,0.7,rand,2,2,linear,50,1.1819988489151,25.62035298347473
fivenodes,IT-STGCN,0.7,rand,2,2,nearest,50,1.2218997478485107,22.42641282081604
fivenodes,STGCN,0.7,rand,2,2,linear,50,1.2310490608215332,18.537177562713623
fivenodes,STGCN,0.7,rand,2,2,nearest,50,1.2654904127120972,18.31903338432312
fivenodes,IT-STGCN,0.7,rand,2,2,linear,50,1.2134742736816406,21.922484397888184
fivenodes,IT-STGCN,0.7,rand,2,2,nearest,50,1.203641414642334,20.68209457397461
fivenodes,STGCN,0.7,rand,2,2,linear,50,1.270623803138733,17.341304540634155
fivenodes,STGCN,0.7,rand,2,2,nearest,50,1.2626488208770752,17.97600531578064
fivenodes,IT-STGCN,0.7,rand,2,2,linear,50,1.219110131263733,21.302316665649414
fivenodes,IT-STGCN,0.7,rand,2,2,nearest,50,1.2131117582321167,22.719906091690063
