dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5668824315071106,873.5134980678558
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.520368218421936,1218.459389448166
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5732248425483704,949.9237265586853
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.518324613571167,1017.7814753055573
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5688107013702393,888.9282896518707
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5183818936347961,1010.1921319961548
wikimath,STGCN,0.3,rand,8,12,linear,50,0.563176691532135,884.4006357192993
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5168895721435547,1048.023349761963
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5779741406440735,861.0165271759033
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5190329551696777,1029.6262998580933
wikimath,STGCN,0.3,rand,8,12,linear,50,0.573325514793396,851.246574640274
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5168790817260742,1019.2896356582642
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5665042400360107,858.289500951767
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.516274094581604,1010.4030284881592
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5660321712493896,853.867104768753
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5175684094429016,1007.7070732116699
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5674283504486084,850.4824306964874
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5171405673027039,1022.0802173614502
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5676133632659912,861.1063539981842
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5168744921684265,1019.6050755977631
wikimath,STGCN,0.3,rand,8,12,linear,50,0.560548722743988,866.3847949504852
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5162246227264404,1000.5980198383331
wikimath,STGCN,0.3,rand,8,12,linear,50,0.56807941198349,857.5965778827667
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.51842200756073,1018.7654469013214
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5801299214363098,840.2911233901978
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5222455263137817,1038.0989229679108
wikimath,STGCN,0.3,rand,8,12,linear,50,0.576737105846405,843.8488612174988
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5173259377479553,1028.8750159740448
wikimath,STGCN,0.3,rand,8,12,linear,50,0.5789366960525513,859.3696944713593
wikimath,IT-STGCN,0.3,rand,8,12,linear,50,0.5188165903091431,1006.795330286026
