dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalme,STGCN,0.3,rand,4,8,linear,50,1.2458292245864868,9.241584539413452
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.153196930885315,8.89963674545288
pedalme,STGCN,0.6,rand,4,8,linear,50,1.3193550109863281,9.045004606246948
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.305277705192566,8.562661170959473
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.2809892892837524,23.67691707611084
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.3114869594573975,23.09153389930725
pedalme,IT-STGCN,0.6,rand,4,8,linear,50,1.1533875465393066,16.41974115371704
pedalme,IT-STGCN,0.6,rand,4,8,nearest,50,1.2090407609939575,13.294989585876465
pedalme,STGCN,0.3,rand,4,8,linear,50,1.2287801504135132,9.257355213165283
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.2974871397018433,8.621215581893921
pedalme,STGCN,0.6,rand,4,8,linear,50,1.531933069229126,8.2210693359375
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.5342332124710083,10.489132165908813
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.337895154953003,13.854887247085571
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.1719512939453125,13.367578744888306
pedalme,IT-STGCN,0.6,rand,4,8,linear,50,1.182348608970642,14.991846561431885
pedalme,IT-STGCN,0.6,rand,4,8,nearest,50,1.3319934606552124,13.004271268844604
pedalme,STGCN,0.3,rand,4,8,linear,50,1.5091321468353271,8.003236055374146
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.3169587850570679,7.638347148895264
pedalme,STGCN,0.6,rand,4,8,linear,50,1.451220989227295,8.271955251693726
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.702031135559082,6.775654554367065
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.1425410509109497,14.33191180229187
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.4371079206466675,13.495679378509521
pedalme,IT-STGCN,0.6,rand,4,8,linear,50,1.2678123712539673,13.346377611160278
pedalme,IT-STGCN,0.6,rand,4,8,nearest,50,1.3194453716278076,18.286433696746826
pedalme,STGCN,0.3,rand,4,8,linear,50,1.2703357934951782,9.161950826644897
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.2250703573226929,9.22138786315918
pedalme,STGCN,0.6,rand,4,8,linear,50,1.4758110046386719,9.594500303268433
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.3820172548294067,9.042450189590454
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.487356185913086,19.38074564933777
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.1256463527679443,18.002606868743896
pedalme,IT-STGCN,0.6,rand,4,8,linear,50,1.291609287261963,33.896328926086426
pedalme,IT-STGCN,0.6,rand,4,8,nearest,50,1.5518131256103516,43.15273189544678
pedalme,STGCN,0.3,rand,4,8,linear,50,1.2356685400009155,10.621533155441284
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.2892537117004395,10.1590895652771
pedalme,STGCN,0.6,rand,4,8,linear,50,1.4733980894088745,10.125821828842163
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.787420630455017,9.732297420501709
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.1992223262786865,22.361785888671875
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.417052984237671,22.33953094482422
pedalme,IT-STGCN,0.6,rand,4,8,linear,50,1.1568405628204346,24.765782833099365
pedalme,IT-STGCN,0.6,rand,4,8,nearest,50,1.2154828310012817,23.251112461090088
pedalme,STGCN,0.3,rand,4,8,linear,50,1.3100414276123047,9.692057609558105
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.1370248794555664,10.175875663757324
pedalme,STGCN,0.6,rand,4,8,linear,50,1.4004955291748047,10.271946430206299
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.521918773651123,9.581083297729492
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.2215535640716553,25.82294797897339
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.4265565872192383,24.279317140579224
pedalme,IT-STGCN,0.6,rand,4,8,linear,50,1.1922515630722046,24.913466215133667
pedalme,IT-STGCN,0.6,rand,4,8,nearest,50,1.214397668838501,31.12184739112854
pedalme,STGCN,0.3,rand,4,8,linear,50,1.247243046760559,9.989532709121704
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.2690722942352295,10.057088136672974
pedalme,STGCN,0.6,rand,4,8,linear,50,1.5217158794403076,10.397376537322998
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.472418189048767,10.210021257400513
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.3041249513626099,29.108813762664795
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.2035659551620483,23.255263090133667
pedalme,IT-STGCN,0.6,rand,4,8,linear,50,1.2876627445220947,23.745756149291992
pedalme,IT-STGCN,0.6,rand,4,8,nearest,50,1.3715648651123047,21.515593767166138
pedalme,STGCN,0.3,rand,4,8,linear,50,1.2703418731689453,9.20960545539856
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.2092593908309937,8.81592082977295
pedalme,STGCN,0.6,rand,4,8,linear,50,1.654002070426941,7.800120830535889
pedalme,STGCN,0.6,rand,4,8,nearest,50,1.357230305671692,7.459456205368042
pedalme,IT-STGCN,0.3,rand,4,8,linear,50,1.238982081413269,15.77890682220459
pedalme,IT-STGCN,0.3,rand,4,8,nearest,50,1.2974706888198853,16.12855839729309
pedalme,IT-STGCN,0.6,rand,4,8,linear,50,1.4628208875656128,16.40447497367859
pedalme,IT-STGCN,0.6,rand,4,8,nearest,50,1.297435998916626,16.464008569717407
pedalme,STGCN,0.3,rand,4,8,linear,50,1.5166054964065552,6.2634437084198
pedalme,STGCN,0.3,rand,4,8,nearest,50,1.48039710521698,7.041024446487427
