dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalme,STGCN,0.3,rand,4,12,cubic,50,1.1057097911834717,6.291030645370483
pedalme,STGCN,0.3,rand,4,12,linear,50,1.589614748954773,6.157078504562378
pedalme,STGCN,0.3,rand,8,12,cubic,50,1.7503799200057983,5.378389596939087
pedalme,STGCN,0.3,rand,8,12,linear,50,1.3594170808792114,5.414476156234741
pedalme,STGCN,0,,4,12,,50,1.2473424673080444,6.153304576873779
pedalme,STGCN,0,,4,12,,50,1.2346948385238647,6.1296491622924805
pedalme,STGCN,0,,8,12,,50,1.4109660387039185,5.376286029815674
pedalme,STGCN,0,,8,12,,50,1.393398404121399,5.43869161605835
pedalme,STGCN,0.4,rand,4,12,cubic,50,1.3468775749206543,6.097322702407837
pedalme,STGCN,0.4,rand,4,12,linear,50,1.466329574584961,6.118752717971802
pedalme,STGCN,0.4,rand,8,12,cubic,50,1.3322508335113525,5.44972038269043
pedalme,STGCN,0.4,rand,8,12,linear,50,1.2135428190231323,5.43378472328186
pedalme,IT-STGCN,0.3,rand,4,12,cubic,50,1.2756571769714355,7.126824140548706
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.2077043056488037,7.0749571323394775
pedalme,IT-STGCN,0.3,rand,8,12,cubic,50,1.5131405591964722,6.343034029006958
pedalme,IT-STGCN,0.3,rand,8,12,linear,50,1.3793343305587769,6.360967397689819
pedalme,IT-STGCN,0,,4,12,,50,1.2342759370803833,7.166148900985718
pedalme,IT-STGCN,0,,4,12,,50,1.3168675899505615,7.099396705627441
pedalme,IT-STGCN,0,,8,12,,50,1.4860919713974,6.533905744552612
pedalme,IT-STGCN,0,,8,12,,50,1.3403407335281372,6.358982086181641
pedalme,IT-STGCN,0.4,rand,4,12,cubic,50,1.4182124137878418,7.11722207069397
pedalme,IT-STGCN,0.4,rand,4,12,linear,50,1.3431973457336426,7.0783936977386475
pedalme,IT-STGCN,0.4,rand,8,12,cubic,50,1.3417625427246094,6.354661464691162
pedalme,IT-STGCN,0.4,rand,8,12,linear,50,1.5745266675949097,6.323162078857422
pedalme,STGCN,0.3,rand,4,12,cubic,50,1.3972856998443604,6.149044513702393
pedalme,STGCN,0.3,rand,4,12,linear,50,1.746952772140503,6.152326583862305
pedalme,STGCN,0.3,rand,8,12,cubic,50,1.4914027452468872,5.414853811264038
pedalme,STGCN,0.3,rand,8,12,linear,50,1.1361348628997803,5.378071546554565
pedalme,STGCN,0,,4,12,,50,1.19027578830719,6.178335428237915
pedalme,STGCN,0,,4,12,,50,1.2011983394622803,6.125990867614746
pedalme,STGCN,0,,8,12,,50,1.4954054355621338,5.388185739517212
pedalme,STGCN,0,,8,12,,50,1.3365676403045654,5.370931148529053
pedalme,STGCN,0.4,rand,4,12,cubic,50,1.1476504802703857,6.102622747421265
pedalme,STGCN,0.4,rand,4,12,linear,50,1.7003651857376099,6.142345428466797
pedalme,STGCN,0.4,rand,8,12,cubic,50,1.348562240600586,5.39308500289917
pedalme,STGCN,0.4,rand,8,12,linear,50,1.6518903970718384,5.383564710617065
pedalme,IT-STGCN,0.3,rand,4,12,cubic,50,1.3916003704071045,6.988991737365723
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.2660945653915405,7.214094638824463
pedalme,IT-STGCN,0.3,rand,8,12,cubic,50,1.3786801099777222,6.365860939025879
pedalme,IT-STGCN,0.3,rand,8,12,linear,50,1.372083306312561,6.35702919960022
pedalme,IT-STGCN,0,,4,12,,50,1.2326440811157227,7.072705507278442
pedalme,IT-STGCN,0,,4,12,,50,1.2595088481903076,7.055669069290161
pedalme,IT-STGCN,0,,8,12,,50,1.3584786653518677,6.313430547714233
pedalme,IT-STGCN,0,,8,12,,50,1.2351902723312378,6.385605573654175
pedalme,IT-STGCN,0.4,rand,4,12,cubic,50,1.1771492958068848,7.09931755065918
pedalme,IT-STGCN,0.4,rand,4,12,linear,50,1.55327570438385,7.041790723800659
pedalme,IT-STGCN,0.4,rand,8,12,cubic,50,1.2938363552093506,6.290081262588501
pedalme,IT-STGCN,0.4,rand,8,12,linear,50,1.5069645643234253,6.291104316711426
pedalme,STGCN,0.3,rand,4,12,cubic,50,1.409087896347046,6.230140447616577
pedalme,STGCN,0.3,rand,4,12,linear,50,1.467393159866333,6.239752531051636
pedalme,STGCN,0.3,rand,8,12,cubic,50,1.6119686365127563,5.4847047328948975
pedalme,STGCN,0.3,rand,8,12,linear,50,1.2663943767547607,5.4275407791137695
pedalme,STGCN,0,,4,12,,50,1.290256142616272,6.180359363555908
pedalme,STGCN,0,,4,12,,50,1.2694077491760254,6.1728355884552
pedalme,STGCN,0,,8,12,,50,1.3677000999450684,5.379860877990723
pedalme,STGCN,0,,8,12,,50,1.6266303062438965,5.415806293487549
pedalme,STGCN,0.4,rand,4,12,cubic,50,1.3126499652862549,6.330892324447632
pedalme,STGCN,0.4,rand,4,12,linear,50,1.4441121816635132,6.166621685028076
pedalme,STGCN,0.4,rand,8,12,cubic,50,1.205822467803955,5.42207407951355
pedalme,STGCN,0.4,rand,8,12,linear,50,1.4314955472946167,5.513535976409912
pedalme,IT-STGCN,0.3,rand,4,12,cubic,50,1.3322378396987915,7.2006285190582275
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.4216878414154053,7.151314735412598
pedalme,IT-STGCN,0.3,rand,8,12,cubic,50,1.578819990158081,6.292710304260254
