dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
monte,STGCN,0.8,rand,4,12,nearest,50,1.0394173860549927,372.5471212863922
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0650062561035156,406.42872428894043
monte,STGCN,0.8,rand,4,12,nearest,50,1.094484806060791,312.6804416179657
monte,IT-STGCN,0.8,rand,4,12,nearest,50,0.9967452883720398,466.48494601249695
monte,STGCN,0.8,rand,4,12,nearest,50,1.1291632652282715,210.5877821445465
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0250487327575684,534.7431387901306
monte,STGCN,0.8,rand,4,12,nearest,50,1.1523195505142212,183.76749277114868
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.010053277015686,462.96409249305725
monte,STGCN,0.8,rand,4,12,nearest,50,1.1358635425567627,182.18158531188965
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0275318622589111,412.0078032016754
monte,STGCN,0.8,rand,4,12,nearest,50,1.0304875373840332,244.96972036361694
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0690473318099976,377.12449526786804
monte,STGCN,0.8,rand,4,12,nearest,50,1.1214895248413086,270.58973383903503
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0101754665374756,369.4129936695099
monte,STGCN,0.8,rand,4,12,nearest,50,1.2645670175552368,295.7695553302765
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0541017055511475,399.4959456920624
monte,STGCN,0.8,rand,4,12,nearest,50,1.1619055271148682,221.57000732421875
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0355643033981323,426.3390190601349
monte,STGCN,0.8,rand,4,12,nearest,50,1.1554651260375977,181.8403992652893
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.06582772731781,446.62966775894165
monte,STGCN,0.8,rand,4,12,nearest,50,1.217452049255371,249.55794954299927
monte,IT-STGCN,0.8,rand,4,12,nearest,50,0.9845626950263977,515.011866569519
monte,STGCN,0.8,rand,4,12,nearest,50,1.065457820892334,200.33606505393982
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0465327501296997,474.2584910392761
monte,STGCN,0.8,rand,4,12,nearest,50,1.1672017574310303,183.01221346855164
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0296669006347656,444.57674193382263
monte,STGCN,0.8,rand,4,12,nearest,50,1.1591312885284424,211.10857963562012
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0790290832519531,405.7688522338867
monte,STGCN,0.8,rand,4,12,nearest,50,1.132348656654358,256.3754048347473
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0063971281051636,368.11304116249084
