dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalme,STGCN,0,,4,12,,50,1.222601294517517,6.055873870849609
pedalme,STGCN,0,,4,12,,50,1.0687342882156372,5.348393440246582
pedalme,STGCN,0.3,rand,4,12,linear,50,1.7782831192016602,5.4500792026519775
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.4754265546798706,5.581201553344727
pedalme,STGCN,0.6,rand,4,12,linear,50,2.140820026397705,5.8117499351501465
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.7501096725463867,5.835119724273682
pedalme,IT-STGCN,0,,4,12,,50,1.4462777376174927,6.734222173690796
pedalme,IT-STGCN,0,,4,12,,50,1.3826658725738525,7.209016561508179
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.3354957103729248,6.442671060562134
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.355944275856018,7.1134092807769775
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.3706207275390625,6.590523719787598
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.3811233043670654,6.398938179016113
pedalme,STGCN,0,,4,12,,50,1.316451907157898,5.759010553359985
pedalme,STGCN,0,,4,12,,50,1.2968097925186157,5.7635955810546875
pedalme,STGCN,0.3,rand,4,12,linear,50,1.6216669082641602,6.110504627227783
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.6540485620498657,6.506152629852295
pedalme,STGCN,0.6,rand,4,12,linear,50,1.5956255197525024,6.691925764083862
pedalme,STGCN,0.6,rand,4,12,nearest,50,2.087160587310791,6.087480306625366
pedalme,IT-STGCN,0,,4,12,,50,1.0984829664230347,7.782126426696777
pedalme,IT-STGCN,0,,4,12,,50,1.0442708730697632,7.06416130065918
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.2777485847473145,6.8005170822143555
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,0.952233612537384,6.342868089675903
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.8550010919570923,6.201188802719116
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.4244087934494019,6.204913854598999
pedalme,STGCN,0,,4,12,,50,1.40487539768219,5.600134611129761
pedalme,STGCN,0,,4,12,,50,1.2829233407974243,6.219066143035889
pedalme,STGCN,0.3,rand,4,12,linear,50,1.2171664237976074,6.228369474411011
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.4414660930633545,5.810458421707153
pedalme,STGCN,0.6,rand,4,12,linear,50,1.5970978736877441,6.187670469284058
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.6127418279647827,6.317274332046509
pedalme,IT-STGCN,0,,4,12,,50,1.106716513633728,8.77225947380066
pedalme,IT-STGCN,0,,4,12,,50,1.2485101222991943,9.359941244125366
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.1660363674163818,6.59284234046936
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2502870559692383,7.472740888595581
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.635585069656372,7.765584230422974
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.387692928314209,7.7233099937438965
pedalme,STGCN,0,,4,12,,50,1.3740838766098022,6.847097635269165
pedalme,STGCN,0,,4,12,,50,1.257784366607666,6.876509428024292
pedalme,STGCN,0.3,rand,4,12,linear,50,1.5017198324203491,6.858518600463867
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.3247134685516357,6.8668694496154785
pedalme,STGCN,0.6,rand,4,12,linear,50,1.7110096216201782,6.859104871749878
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.5868724584579468,6.852257966995239
pedalme,IT-STGCN,0,,4,12,,50,1.2285151481628418,7.785325765609741
pedalme,IT-STGCN,0,,4,12,,50,1.2676775455474854,7.733365774154663
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.3136714696884155,7.465393304824829
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.3414413928985596,6.548048257827759
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.421635389328003,6.995000600814819
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.3531559705734253,7.675305366516113
pedalme,STGCN,0,,4,12,,50,1.1634762287139893,8.832415103912354
pedalme,STGCN,0,,4,12,,50,1.0964049100875854,8.905542135238647
pedalme,STGCN,0.3,rand,4,12,linear,50,1.5790765285491943,8.892734050750732
pedalme,STGCN,0.3,rand,4,12,nearest,50,2.031503677368164,7.5899975299835205
pedalme,STGCN,0.6,rand,4,12,linear,50,1.5903840065002441,6.211806774139404
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.7869971990585327,5.648580074310303
pedalme,IT-STGCN,0,,4,12,,50,1.1763319969177246,6.878105640411377
pedalme,IT-STGCN,0,,4,12,,50,1.3502858877182007,6.233964204788208
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.5037727355957031,6.55640435218811
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.1257736682891846,6.870370864868164
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.647395133972168,6.521613359451294
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.494802474975586,6.259972333908081
pedalme,STGCN,0,,4,12,,50,1.2386910915374756,6.217453479766846
pedalme,STGCN,0,,4,12,,50,1.3061907291412354,6.113743543624878
pedalme,STGCN,0.3,rand,4,12,linear,50,1.3849303722381592,5.774069786071777
pedalme,STGCN,0.3,rand,4,12,nearest,50,2.901904821395874,5.630212783813477
pedalme,STGCN,0.6,rand,4,12,linear,50,2.0274558067321777,6.392552614212036
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.9546992778778076,6.47993278503418
pedalme,IT-STGCN,0,,4,12,,50,1.094476342201233,7.4010255336761475
pedalme,IT-STGCN,0,,4,12,,50,1.2195427417755127,7.346625804901123
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.1889435052871704,6.215055704116821
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2393182516098022,7.107622861862183
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,2.0578064918518066,6.205427885055542
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.5229231119155884,6.785691499710083
pedalme,STGCN,0,,4,12,,50,1.144906759262085,6.139022350311279
pedalme,STGCN,0,,4,12,,50,1.151158094406128,6.496574401855469
pedalme,STGCN,0.3,rand,4,12,linear,50,1.375818133354187,6.029245853424072
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.5872524976730347,6.040306568145752
pedalme,STGCN,0.6,rand,4,12,linear,50,1.8990472555160522,6.346470832824707
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.8392972946166992,5.782410621643066
pedalme,IT-STGCN,0,,4,12,,50,1.18437922000885,6.195834159851074
pedalme,IT-STGCN,0,,4,12,,50,1.2199230194091797,6.798229455947876
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.3740185499191284,6.492929220199585
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2095516920089722,6.983438491821289
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.324920892715454,6.429544925689697
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.7923082113265991,6.740200519561768
pedalme,STGCN,0,,4,12,,50,1.2236182689666748,5.739274740219116
pedalme,STGCN,0,,4,12,,50,1.06324303150177,5.628804445266724
pedalme,STGCN,0.3,rand,4,12,linear,50,1.9220290184020996,6.132011651992798
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.4461649656295776,5.592413902282715
pedalme,STGCN,0.6,rand,4,12,linear,50,1.5068060159683228,6.359670400619507
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.907291054725647,5.55091667175293
pedalme,IT-STGCN,0,,4,12,,50,1.1109551191329956,7.868554353713989
pedalme,IT-STGCN,0,,4,12,,50,1.1132817268371582,7.126061677932739
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.1571331024169922,6.7362961769104
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.4686954021453857,6.59343409538269
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.1930547952651978,6.473167657852173
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.745399832725525,6.253728628158569
pedalme,STGCN,0,,4,12,,50,1.1802228689193726,6.417159080505371
pedalme,STGCN,0,,4,12,,50,1.2249802350997925,9.28258752822876
pedalme,STGCN,0.3,rand,4,12,linear,50,1.6305603981018066,9.157805919647217
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.591900110244751,7.113934516906738
pedalme,STGCN,0.6,rand,4,12,linear,50,1.7662875652313232,7.787511825561523
pedalme,STGCN,0.6,rand,4,12,nearest,50,2.202335834503174,8.762324094772339
pedalme,IT-STGCN,0,,4,12,,50,1.141047477722168,10.482066631317139
pedalme,IT-STGCN,0,,4,12,,50,1.1417545080184937,10.477075099945068
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.2003231048583984,6.92899489402771
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.571840763092041,7.349708080291748
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.7618545293807983,8.24063777923584
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.2978278398513794,8.044834613800049
pedalme,STGCN,0,,4,12,,50,1.1466702222824097,6.749906778335571
pedalme,STGCN,0,,4,12,,50,1.26740562915802,5.861558675765991
pedalme,STGCN,0.3,rand,4,12,linear,50,1.3816605806350708,5.958752155303955
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.8770400285720825,5.990607261657715
pedalme,STGCN,0.6,rand,4,12,linear,50,1.9187325239181519,6.0191330909729
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.6902074813842773,5.811947584152222
pedalme,IT-STGCN,0,,4,12,,50,1.1462711095809937,6.310948371887207
pedalme,IT-STGCN,0,,4,12,,50,1.2155345678329468,6.47111177444458
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.3527177572250366,7.081887722015381
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.3060580492019653,6.649281740188599
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.531157374382019,6.345835208892822
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,2.3951048851013184,6.3530309200286865
pedalme,STGCN,0,,4,12,,50,1.3104619979858398,6.135512828826904
pedalme,STGCN,0,,4,12,,50,1.2425183057785034,6.429937362670898
pedalme,STGCN,0.3,rand,4,12,linear,50,1.4601044654846191,5.727033376693726
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.1979626417160034,6.816334009170532
pedalme,STGCN,0.6,rand,4,12,linear,50,1.6863033771514893,6.515170574188232
pedalme,STGCN,0.6,rand,4,12,nearest,50,2.101722240447998,5.951784372329712
pedalme,IT-STGCN,0,,4,12,,50,1.2434591054916382,6.902485370635986
pedalme,IT-STGCN,0,,4,12,,50,1.1844931840896606,7.2301623821258545
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.4012104272842407,7.1371009349823
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.3565800189971924,6.675805568695068
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.3285908699035645,7.16340184211731
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.3330007791519165,6.419769763946533
pedalme,STGCN,0,,4,12,,50,1.2657948732376099,5.6991846561431885
pedalme,STGCN,0,,4,12,,50,1.1994332075119019,6.444962501525879
pedalme,STGCN,0.3,rand,4,12,linear,50,1.8891907930374146,6.209061861038208
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.4962557554244995,6.228890419006348
pedalme,STGCN,0.6,rand,4,12,linear,50,1.872734546661377,6.103253602981567
pedalme,STGCN,0.6,rand,4,12,nearest,50,2.081157684326172,6.287929058074951
pedalme,IT-STGCN,0,,4,12,,50,1.2464773654937744,6.728024959564209
pedalme,IT-STGCN,0,,4,12,,50,1.184956669807434,6.854440450668335
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.3810477256774902,7.481719493865967
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2374986410140991,6.798385381698608
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.5160866975784302,6.95836877822876
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.5353862047195435,7.022469997406006
pedalme,STGCN,0,,4,12,,50,1.4445481300354004,5.744693756103516
pedalme,STGCN,0,,4,12,,50,1.1827630996704102,5.715287923812866
pedalme,STGCN,0.3,rand,4,12,linear,50,1.7528939247131348,6.072594165802002
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.5699901580810547,6.2782883644104
pedalme,STGCN,0.6,rand,4,12,linear,50,1.8094531297683716,6.208356857299805
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.6203525066375732,5.925068140029907
pedalme,IT-STGCN,0,,4,12,,50,1.1379417181015015,6.855009078979492
pedalme,IT-STGCN,0,,4,12,,50,1.3606815338134766,7.329113483428955
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.5434578657150269,6.358193635940552
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.4703532457351685,7.155748128890991
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.410958170890808,6.954010009765625
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.6797457933425903,6.445282459259033
pedalme,STGCN,0,,4,12,,50,1.1890718936920166,5.859764337539673
pedalme,STGCN,0,,4,12,,50,1.2075411081314087,6.338620901107788
pedalme,STGCN,0.3,rand,4,12,linear,50,1.4447578191757202,6.36375880241394
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.3059465885162354,6.535522699356079
pedalme,STGCN,0.6,rand,4,12,linear,50,1.5145894289016724,6.063692092895508
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.7726359367370605,5.99926495552063
pedalme,IT-STGCN,0,,4,12,,50,1.1889591217041016,6.62067985534668
pedalme,IT-STGCN,0,,4,12,,50,1.1490449905395508,7.10782790184021
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.3121103048324585,7.489873886108398
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.1582162380218506,6.297382831573486
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.778623342514038,7.0248565673828125
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.4724591970443726,6.966736555099487
pedalme,STGCN,0,,4,12,,50,1.1891605854034424,5.6890904903411865
pedalme,STGCN,0,,4,12,,50,1.153505802154541,6.594508171081543
pedalme,STGCN,0.3,rand,4,12,linear,50,1.533953309059143,5.961800813674927
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.5767462253570557,7.041059255599976
pedalme,STGCN,0.6,rand,4,12,linear,50,1.5321544408798218,6.882152557373047
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.8513998985290527,6.897904634475708
pedalme,IT-STGCN,0,,4,12,,50,1.3912684917449951,7.780632972717285
pedalme,IT-STGCN,0,,4,12,,50,1.2694534063339233,6.856717109680176
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.4570280313491821,7.457102060317993
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.2789288759231567,7.7717413902282715
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.7251379489898682,7.773144006729126
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.3303724527359009,7.7688844203948975
pedalme,STGCN,0,,4,12,,50,1.1370843648910522,6.86884331703186
pedalme,STGCN,0,,4,12,,50,1.1434285640716553,6.619224786758423
pedalme,STGCN,0.3,rand,4,12,linear,50,2.019209146499634,6.837766170501709
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.3174457550048828,6.83935284614563
pedalme,STGCN,0.6,rand,4,12,linear,50,1.4919484853744507,6.836618423461914
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.5957680940628052,6.838902950286865
pedalme,IT-STGCN,0,,4,12,,50,1.1444406509399414,7.702606678009033
pedalme,IT-STGCN,0,,4,12,,50,1.403554916381836,7.756581783294678
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.4138284921646118,7.7362751960754395
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.6179678440093994,7.738628625869751
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.5026640892028809,7.804412126541138
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.430524230003357,7.7907538414001465
pedalme,STGCN,0,,4,12,,50,1.3328566551208496,6.891108989715576
pedalme,STGCN,0,,4,12,,50,1.3715242147445679,6.915313243865967
pedalme,STGCN,0.3,rand,4,12,linear,50,1.7052950859069824,6.892921686172485
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.7608742713928223,6.791509628295898
pedalme,STGCN,0.6,rand,4,12,linear,50,1.5268107652664185,6.13640570640564
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.9012407064437866,5.852156400680542
pedalme,IT-STGCN,0,,4,12,,50,1.2976809740066528,6.307176351547241
pedalme,IT-STGCN,0,,4,12,,50,1.0477126836776733,7.012078762054443
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.6775341033935547,6.49446439743042
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.4797133207321167,6.325292587280273
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.390359878540039,6.5634520053863525
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,2.5576560497283936,7.167596340179443
pedalme,STGCN,0,,4,12,,50,1.1420929431915283,6.112113952636719
pedalme,STGCN,0,,4,12,,50,1.0271730422973633,6.348914623260498
pedalme,STGCN,0.3,rand,4,12,linear,50,1.3483994007110596,6.5431530475616455
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.2178038358688354,6.512606143951416
pedalme,STGCN,0.6,rand,4,12,linear,50,1.6559399366378784,6.6254723072052
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.658901572227478,6.444012880325317
pedalme,IT-STGCN,0,,4,12,,50,1.1353248357772827,7.5115954875946045
pedalme,IT-STGCN,0,,4,12,,50,1.356213092803955,6.653564929962158
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.567387342453003,6.78664493560791
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.3489347696304321,6.880488395690918
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.4277464151382446,6.330780267715454
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,2.0622828006744385,6.798643112182617
pedalme,STGCN,0,,4,12,,50,1.1785544157028198,6.359926223754883
pedalme,STGCN,0,,4,12,,50,1.2364979982376099,5.658423900604248
pedalme,STGCN,0.3,rand,4,12,linear,50,1.7108769416809082,6.459388256072998
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.1592066287994385,5.671696186065674
pedalme,STGCN,0.6,rand,4,12,linear,50,1.644334077835083,6.471829891204834
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.6223217248916626,6.224173545837402
pedalme,IT-STGCN,0,,4,12,,50,1.0863618850708008,6.34653377532959
pedalme,IT-STGCN,0,,4,12,,50,1.3305810689926147,7.094883918762207
pedalme,IT-STGCN,0.3,rand,4,12,linear,50,1.4674010276794434,7.419011354446411
pedalme,IT-STGCN,0.3,rand,4,12,nearest,50,1.7523469924926758,6.5706892013549805
pedalme,IT-STGCN,0.6,rand,4,12,linear,50,1.3221263885498047,6.866886854171753
pedalme,IT-STGCN,0.6,rand,4,12,nearest,50,1.4318065643310547,6.407379627227783
pedalme,STGCN,0,,4,12,,50,1.119931936264038,6.397377014160156
pedalme,STGCN,0,,4,12,,50,1.3003973960876465,5.7113566398620605
pedalme,STGCN,0.3,rand,4,12,linear,50,1.6078379154205322,5.693617343902588
pedalme,STGCN,0.3,rand,4,12,nearest,50,1.6285101175308228,5.649996757507324
pedalme,STGCN,0.6,rand,4,12,linear,50,1.4311740398406982,5.75483512878418
pedalme,STGCN,0.6,rand,4,12,nearest,50,1.8815356492996216,7.372046232223511
